:START_ID,:END_ID,:TYPE
FAC_YUKODOME_SABO,CH_SEKKEI_11,DESCRIBED_IN
FAC_SANBUKU_KO,HZ_DOSEKIRYU,SUBJECT_TO
FAC_SANBUKU_KO,HZ_LANDSLIDE,SUBJECT_TO
FAC_SANBUKU_KO,SEC_IJIKANRI_SABO_4_4,DESCRIBED_IN
FAC_SANBUKU_KO,CH_SEKKEI_12,DESCRIBED_IN
FAC_KEIRYU_HOZEN,HZ_DOSEKIRYU,SUBJECT_TO
FAC_KEIRYU_HOZEN,CH_SEKKEI_13,DESCRIBED_IN
FAC_DOSEKIRYU_DORYUKO,HZ_DOSEKIRYU,SUBJECT_TO
FAC_JISUBERI_BOSHI,HZ_LANDSLIDE,SUBJECT_TO
FAC_JISUBERI_BOSHI,CH_SEKKEI_14,DESCRIBED_IN
FAC_KYUKEISHA_BOSHI,HZ_KYUKEISHA_HOJI,SUBJECT_TO
FAC_KYUKEISHA_BOSHI,CH_SEKKEI_15,DESCRIBED_IN
FAC_NADARE_TAISAKU,HZ_AVALANCHE,SUBJECT_TO
FAC_NADARE_TAISAKU,CH_SEKKEI_16,DESCRIBED_IN
FAC_TEIBO,HZ_FLOOD,MITIGATES
FAC_KOKIKAKU_TEIBO,HZ_FLOOD,MITIGATES
FAC_GOGAN,HZ_FLOOD,MITIGATES
FAC_DAM,HZ_FLOOD,MITIGATES
FAC_SABO_DAM,HZ_DOSEKIRYU,MITIGATES
FAC_SABO_DAM,HZ_LANDSLIDE,MITIGATES
FAC_YUKODOME_SABO,HZ_DOSEKIRYU,MITIGATES
FAC_JISUBERI_BOSHI,HZ_LANDSLIDE,MITIGATES
FAC_KYUKEISHA_BOSHI,HZ_KYUKEISHA_HOJI,MITIGATES
FAC_NADARE_TAISAKU,HZ_AVALANCHE,MITIGATES
TC_HYDRO_ANALYSIS,CH_CHOSA_3,DEFINED_IN
TC_RUNOFF_ANALYSIS,CH_CHOSA_3,DEFINED_IN
TC_FLOOD_ANALYSIS,CH_CHOSA_5,DEFINED_IN
TC_HINRAN_ANALYSIS,CH_CHOSA_7,DEFINED_IN
TC_KASEN_HEN_ANALYSIS,CH_CHOSA_6,DEFINED_IN
TC_SAND_TRANSPORT,CH_CHOSA_6,DEFINED_IN
TC_KANKYO_CHOSA,CH_CHOSA_11,DEFINED_IN
TC_MIZUSHITSU_CHOSA,CH_CHOSA_12,DEFINED_IN
TC_LONGEVITY,STD_IJIKANRI_KASEN,DEFINED_IN
TC_LONGEVITY,STD_IJIKANRI_DAM,DEFINED_IN
TC_LONGEVITY,STD_IJIKANRI_SABO,DEFINED_IN
TC_INSPECTION_REGULAR,SEC_IJIKANRI_KASEN_4_4,DEFINED_IN
TC_INSPECTION_TEMP,SEC_IJIKANRI_KASEN_4_4,DEFINED_IN
TC_INSPECTION_DETAIL,SEC_IJIKANRI_KASEN_4_4,DEFINED_IN
TC_HEALTH_EVAL,SEC_IJIKANRI_KASEN_4_5,DEFINED_IN
TC_CYCLE_MAINT,SEC_IJIKANRI_KASEN_2_2,DEFINED_IN
TC_PLAN_KOSUI,CH_KEIKAKU_KIHON_4,DEFINED_IN
TC_ANTEI_KEISAN,STD_SEKKEI,DEFINED_IN
TC_TAISA_TAISAKU,CH_IJIKANRI_DAM_7,DEFINED_IN
TC_KEIRYU_FLOW_MAST,CH_IJIKANRI_DAM_6,DEFINED_IN
TC_HYDRO_ANALYSIS,PC_CHOSA,USED_IN
TC_RUNOFF_ANALYSIS,PC_CHOSA,USED_IN
